ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-29,233.81947725779122,218.59332510874117,233.5694013454929,233.81947725779122,233.81947725779122,-8.116320804112338,-8.116320804112338,-8.116320804112338,1.0291160953495706,1.0291160953495706,1.0291160953495706,-9.145436899461908,-9.145436899461908,-9.145436899461908,0.0,0.0,0.0,225.70315645367887
2024-08-30,233.71472300516382,217.9646710511699,233.14219188002505,233.71472300516382,233.71472300516382,-7.9805836909970465,-7.9805836909970465,-7.9805836909970465,1.249534666508236,1.249534666508236,1.249534666508236,-9.230118357505283,-9.230118357505283,-9.230118357505283,0.0,0.0,0.0,225.73413931416678
2024-09-03,233.29570599465418,217.2659906077397,232.88388365730728,233.29570599465418,233.29570599465418,-8.79252459835549,-8.79252459835549,-8.79252459835549,1.1925851675695707,1.1925851675695707,1.1925851675695707,-9.985109765925062,-9.985109765925062,-9.985109765925062,0.0,0.0,0.0,224.5031813962987
2024-09-04,233.19095174202678,216.1661000003634,231.50039953682685,233.19095174202678,233.19095174202678,-9.201844335534807,-9.201844335534807,-9.201844335534807,1.0228999524131182,1.0228999524131182,1.0228999524131182,-10.224744287947926,-10.224744287947926,-10.224744287947926,0.0,0.0,0.0,223.98910740649197
2024-09-05,233.08619748939938,216.3068169780748,230.970698609699,233.08619748939938,233.08619748939938,-9.432707111961433,-9.432707111961433,-9.432707111961433,1.0291160953507894,1.0291160953507894,1.0291160953507894,-10.461823207312223,-10.461823207312223,-10.461823207312223,0.0,0.0,0.0,223.65349037743795
2024-09-06,232.98144323677198,216.18931546294033,231.34806140024358,232.98144323677198,232.98144323677198,-9.43542346632568,-9.43542346632568,-9.43542346632568,1.249534666508319,1.249534666508319,1.249534666508319,-10.684958132833998,-10.684958132833998,-10.684958132833998,0.0,0.0,0.0,223.5460197704463
2024-09-09,232.66718047888972,215.65747064138424,230.25972655018873,232.66718047888972,232.66718047888972,-9.972797159350815,-9.972797159350815,-9.972797159350815,1.1937952256503293,1.1937952256503293,1.1937952256503293,-11.166592385001145,-11.166592385001145,-11.166592385001145,0.0,0.0,0.0,222.6943833195389
2024-09-10,232.56242622626232,215.44709942739078,229.4548125185311,232.56242622626232,232.56242622626232,-10.042415499907326,-10.042415499907326,-10.042415499907326,1.1925851675682677,1.1925851675682677,1.1925851675682677,-11.235000667475594,-11.235000667475594,-11.235000667475594,0.0,0.0,0.0,222.520010726355
2024-09-11,232.45767197363492,213.95372056122753,228.8318671956447,232.45767197363492,232.45767197363492,-10.223043144191633,-10.223043144191633,-10.223043144191633,1.0228999524128513,1.0228999524128513,1.0228999524128513,-11.245943096604485,-11.245943096604485,-11.245943096604485,0.0,0.0,0.0,222.2346288294433
2024-09-12,232.3529177210075,214.86630046734666,229.73023843327087,232.3529177210075,232.3529177210075,-10.16585687831665,-10.16585687831665,-10.16585687831665,1.029116095347073,1.029116095347073,1.029116095347073,-11.194972973663722,-11.194972973663722,-11.194972973663722,0.0,0.0,0.0,222.18706084269084
